Education South Gender Experience Union Wage Age Race Occupation Sector Mstat
ED3 S0 G1 EX2 U0 8.49 A2 R3 O4 SE0 M1
ED3 S0 G1 EX1 U1 8.99 A1 R3 O4 SE0 M0
ED3 S1 G1 EX1 U0 3.65 A1 R3 O4 SE0 M1
ED3 S1 G1 EX1 U0 3.5 A2 R3 O4 SE0 M1
ED3 S1 G0 EX1 U0 3.43 A1 R1 O4 SE0 M0
ED3 S1 G0 EX2 U0 5.5 A2 R3 O4 SE0 M1
ED3 S0 G0 EX2 U1 6.93 A2 R3 O4 SE0 M1
ED2 S1 G1 EX3 U0 3.51 A3 R1 O4 SE0 M1
ED3 S0 G1 EX3 U0 3.75 A3 R3 O4 SE0 M0
ED3 S0 G1 EX2 U0 4.17 A2 R3 O4 SE0 M1
ED3 S0 G1 EX1 U1 9.57 A1 R3 O4 SE0 M1
ED3 S0 G0 EX1 U0 14.67 A2 R1 O4 SE0 M1
ED3 S0 G1 EX2 U0 12.5 A2 R3 O4 SE0 M1
ED3 S0 G0 EX1 U0 5.5 A1 R3 O4 SE0 M1
ED3 S1 G0 EX1 U1 5.15 A1 R3 O4 SE0 M0
ED3 S0 G1 EX3 U1 8 A3 R1 O4 SE0 M1
ED3 S0 G0 EX1 U0 5.83 A1 R1 O4 SE0 M0
ED3 S0 G1 EX1 U0 3.35 A1 R3 O4 SE0 M0
ED3 S1 G1 EX2 U0 7 A2 R3 O4 SE0 M1
ED2 S0 G1 EX2 U1 10 A2 R3 O4 SE0 M1
ED3 S0 G1 EX1 U0 8 A1 R3 O4 SE0 M1
ED3 S1 G1 EX1 U0 6.88 A1 R3 O4 SE0 M0
ED3 S0 G1 EX3 U1 5.55 A3 R3 O4 SE0 M0
ED3 S0 G0 EX1 U0 7.5 A1 R1 O4 SE0 M0
ED2 S0 G0 EX3 U1 8.93 A3 R2 O4 SE0 M1
ED4 S0 G1 EX1 U0 9 A1 R1 O4 SE0 M1
ED2 S1 G1 EX2 U0 3.5 A3 R3 O4 SE0 M0
ED4 S0 G0 EX1 U0 5.77 A1 R3 O4 SE1 M0
ED3 S0 G0 EX1 U1 25 A1 R2 O4 SE0 M0
ED3 S0 G0 EX2 U1 6.85 A3 R1 O4 SE0 M1
ED3 S1 G0 EX3 U0 6.5 A3 R3 O4 SE0 M1
ED3 S1 G1 EX1 U0 3.75 A2 R3 O4 SE0 M1
ED2 S0 G0 EX3 U1 3.5 A3 R3 O4 SE0 M1
ED3 S0 G0 EX1 U0 4.5 A1 R3 O4 SE0 M0
ED3 S1 G0 EX1 U0 2.01 A1 R3 O4 SE0 M0
ED3 S0 G1 EX2 U0 4.17 A2 R3 O4 SE0 M0
ED3 S0 G0 EX2 U1 13 A2 R1 O4 SE0 M1
ED3 S0 G1 EX1 U0 3.98 A1 R3 O4 SE0 M0
ED3 S0 G1 EX1 U0 7.5 A1 R3 O4 SE0 M0
ED3 S0 G1 EX2 U0 13.12 A3 R1 O4 SE0 M1
ED3 S0 G0 EX1 U0 4 A1 R3 O4 SE0 M0
ED3 S1 G1 EX1 U0 3.95 A1 R3 O4 SE0 M1
ED3 S1 G0 EX1 U1 13 A2 R3 O4 SE0 M1
ED3 S0 G0 EX1 U0 9 A1 R3 O4 SE0 M1
ED2 S1 G1 EX3 U0 4.55 A3 R3 O4 SE0 M0
ED2 S0 G1 EX3 U1 9.5 A3 R3 O4 SE0 M1
ED2 S1 G0 EX1 U0 4.5 A1 R2 O4 SE0 M1
ED3 S0 G1 EX2 U0 8.75 A3 R3 O4 SE0 M0
ED3 S0 G0 EX2 U1 10 A3 R3 O5 SE2 M1
ED4 S0 G0 EX1 U0 18 A2 R3 O5 SE0 M1
ED4 S0 G0 EX2 U0 24.98 A3 R3 O5 SE1 M1
ED4 S0 G1 EX1 U0 12.05 A1 R3 O5 SE1 M0
ED3 S1 G0 EX1 U0 22 A2 R3 O5 SE0 M1
ED3 S0 G0 EX2 U0 8.75 A2 R3 O5 SE0 M1
ED4 S0 G0 EX1 U0 22.2 A1 R3 O5 SE0 M1
ED4 S0 G0 EX1 U0 17.25 A1 R3 O5 SE1 M1
ED4 S0 G1 EX1 U1 6 A1 R3 O5 SE0 M0
ED3 S1 G0 EX1 U0 8.06 A2 R3 O5 SE0 M1
ED4 S0 G0 EX1 U1 9.24 A1 R1 O5 SE1 M1
ED3 S0 G1 EX1 U0 12 A1 R3 O5 SE0 M1
ED4 S0 G1 EX2 U0 10.61 A3 R3 O5 SE0 M0
ED4 S0 G0 EX1 U0 5.71 A1 R3 O5 SE0 M1
ED4 S0 G1 EX1 U0 10 A1 R3 O5 SE0 M0
ED4 S1 G0 EX1 U0 17.5 A2 R1 O5 SE0 M1
ED4 S0 G0 EX1 U0 15 A2 R3 O5 SE0 M1
ED4 S0 G1 EX1 U0 7.78 A1 R3 O5 SE0 M1
ED4 S0 G0 EX1 U0 7.8 A1 R3 O5 SE0 M1
ED4 S1 G0 EX1 U1 10 A2 R3 O5 SE0 M1
ED4 S0 G1 EX1 U0 24.98 A1 R3 O5 SE0 M0
ED4 S1 G1 EX1 U0 10.28 A1 R3 O5 SE0 M1
ED4 S0 G1 EX1 U0 15 A2 R3 O5 SE0 M1
ED4 S0 G1 EX2 U0 12 A2 R3 O5 SE0 M1
ED4 S0 G0 EX1 U0 10.58 A1 R3 O5 SE1 M0
ED4 S1 G0 EX1 U0 5.85 A2 R3 O5 SE0 M1
ED4 S0 G0 EX2 U0 11.22 A2 R3 O5 SE0 M1
ED3 S0 G1 EX1 U0 8.56 A2 R3 O5 SE0 M1
ED4 S0 G1 EX1 U0 13.89 A2 R3 O5 SE1 M0
ED4 S1 G0 EX1 U0 5.71 A1 R3 O5 SE0 M0
ED4 S0 G0 EX1 U0 15.79 A1 R3 O5 SE0 M1
ED4 S0 G1 EX2 U0 7.5 A2 R3 O5 SE0 M1
ED3 S0 G1 EX2 U0 11.25 A2 R3 O5 SE0 M1
ED4 S0 G1 EX1 U0 6.15 A2 R3 O5 SE0 M0
ED4 S1 G0 EX1 U0 13.45 A2 R1 O5 SE0 M0
ED4 S0 G1 EX1 U0 6.25 A1 R3 O5 SE0 M1
ED3 S0 G1 EX1 U0 6.5 A1 R3 O5 SE0 M0
ED3 S0 G1 EX1 U0 12 A1 R3 O5 SE0 M1
ED3 S0 G1 EX1 U0 8.5 A2 R3 O5 SE0 M0
ED4 S0 G0 EX2 U1 8 A3 R3 O5 SE0 M0
ED3 S1 G1 EX2 U0 5.75 A2 R3 O5 SE0 M1
ED4 S0 G0 EX1 U0 15.73 A1 R3 O5 SE1 M1
ED4 S0 G0 EX1 U0 9.86 A2 R3 O5 SE0 M1
ED4 S0 G0 EX1 U1 13.51 A2 R3 O5 SE0 M1
ED4 S0 G1 EX1 U0 5.4 A1 R3 O5 SE0 M1
ED4 S1 G0 EX1 U0 6.25 A2 R3 O5 SE0 M1
ED4 S1 G0 EX2 U0 5.5 A3 R3 O5 SE0 M1
ED3 S0 G0 EX1 U0 5 A1 R2 O5 SE0 M0
ED4 S0 G0 EX2 U0 6.25 A3 R1 O5 SE0 M1
ED3 S0 G0 EX1 U0 5.75 A1 R3 O5 SE0 M1
ED4 S1 G0 EX1 U1 20.5 A2 R3 O5 SE0 M1
ED3 S0 G0 EX1 U0 5 A1 R3 O5 SE2 M1
ED4 S0 G0 EX2 U0 7 A3 R3 O5 SE0 M1
ED4 S1 G0 EX3 U0 18 A3 R3 O5 SE0 M1
ED4 S0 G1 EX1 U1 12 A2 R3 O5 SE0 M1
ED4 S0 G0 EX1 U0 20.4 A1 R3 O5 SE1 M0
ED4 S0 G1 EX3 U0 22.2 A3 R3 O5 SE0 M0
ED3 S0 G0 EX2 U0 16.42 A2 R3 O5 SE1 M0
ED3 S0 G1 EX1 U0 8.63 A1 R3 O5 SE0 M0
ED4 S0 G1 EX1 U0 19.38 A1 R3 O5 SE0 M1
ED4 S0 G1 EX1 U0 14 A2 R3 O5 SE0 M1
ED3 S0 G0 EX2 U0 10 A2 R3 O5 SE0 M1
ED4 S0 G1 EX1 U1 15.95 A2 R3 O5 SE0 M0
ED4 S1 G1 EX2 U1 20 A3 R3 O5 SE0 M1
ED4 S0 G1 EX1 U0 10 A1 R3 O5 SE0 M1
ED4 S1 G1 EX1 U0 24.98 A1 R3 O5 SE0 M0
ED4 S0 G0 EX1 U0 11.25 A1 R3 O5 SE0 M0
ED4 S0 G1 EX3 U0 22.83 A3 R3 O5 SE1 M0
ED4 S0 G1 EX2 U1 10.2 A3 R3 O5 SE0 M1
ED4 S1 G1 EX1 U0 10 A1 R3 O5 SE0 M1
ED4 S0 G1 EX2 U1 14 A3 R3 O5 SE0 M0
ED4 S0 G1 EX1 U1 12.5 A2 R3 O5 SE0 M1
ED3 S0 G1 EX3 U0 5.79 A3 R3 O5 SE0 M1
ED4 S0 G0 EX1 U0 24.98 A2 R2 O5 SE0 M1
ED3 S0 G1 EX1 U0 4.35 A1 R3 O5 SE0 M1
ED4 S0 G1 EX1 U0 11.25 A1 R3 O5 SE0 M0
ED4 S0 G1 EX1 U1 6.67 A1 R3 O5 SE0 M0
ED4 S0 G1 EX1 U0 8 A2 R2 O5 SE0 M1
ED4 S0 G0 EX1 U0 18.16 A1 R3 O5 SE0 M1
ED4 S0 G1 EX1 U0 12 A2 R3 O5 SE0 M1
ED4 S0 G1 EX2 U1 8.89 A2 R3 O5 SE0 M1
ED4 S0 G1 EX1 U0 9.5 A2 R3 O5 SE0 M1
ED4 S0 G0 EX1 U0 13.65 A1 R3 O5 SE0 M1
ED4 S0 G0 EX2 U1 12 A2 R3 O5 SE0 M1
ED3 S0 G0 EX3 U1 15 A3 R3 O5 SE0 M1
ED4 S0 G0 EX1 U0 12.67 A2 R3 O5 SE0 M1
ED3 S0 G1 EX1 U0 7.38 A2 R2 O5 SE0 M0
ED4 S0 G0 EX1 U0 15.56 A1 R3 O5 SE0 M0
ED3 S1 G1 EX2 U0 7.45 A2 R3 O5 SE0 M0
ED3 S0 G1 EX1 U0 6.25 A1 R3 O5 SE0 M1
ED4 S1 G1 EX1 U0 6.25 A1 R2 O5 SE0 M1
ED4 S0 G0 EX1 U1 9.37 A1 R3 O5 SE0 M1
ED4 S0 G0 EX1 U0 22.5 A2 R3 O5 SE1 M1
ED4 S0 G0 EX1 U1 7.5 A1 R3 O5 SE0 M1
ED4 S1 G0 EX1 U0 7 A1 R3 O5 SE0 M1
ED2 S1 G1 EX2 U1 5.75 A3 R1 O5 SE0 M1
ED4 S0 G1 EX1 U0 7.67 A1 R3 O5 SE0 M1
ED4 S0 G0 EX1 U0 12.5 A1 R3 O5 SE0 M0
ED3 S1 G0 EX1 U0 16 A1 R3 O5 SE0 M1
ED4 S0 G1 EX1 U1 11.79 A1 R3 O5 SE0 M0
ED4 S0 G0 EX1 U0 11.36 A1 R3 O5 SE0 M0
ED3 S0 G1 EX2 U0 6.1 A3 R1 O5 SE0 M1
ED4 S0 G1 EX2 U1 23.25 A2 R1 O5 SE0 M1
ED3 S1 G0 EX1 U1 19.88 A1 R3 O5 SE0 M1
ED4 S0 G0 EX2 U0 15.38 A3 R3 O5 SE1 M1
